top - 21:59:17 up 2 days,  6:55,  1 user,  load average: 0.84, 0.96, 0.91
Tasks: 451 total,   1 running, 450 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.8 us,  3.5 sy,  0.0 ni, 87.8 id,  2.9 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    546.0 free,   9661.9 used,   5548.0 buff/cache
MiB Swap:   2048.0 total,    734.8 free,   1313.2 used.   4094.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6284 joel-wa+  20   0    3372   1876   1820 S   0.0   0.0   0:00.01 cat
   6285 joel-wa+  20   0   32.7g 317620 169196 S   0.0   2.0  78:04.10 brave
   6292 joel-wa+  20   0   32.0g   2360   2232 S   0.0   0.0   0:00.04 chrome_crashpad
   6294 joel-wa+  20   0   32.0g   2112   2092 S   0.0   0.0   0:00.00 chrome_crashpad
   6310 joel-wa+  20   0   32.3g  54156  52912 S   0.0   0.3   0:00.17 brave
   6312 joel-wa+  20   0   32.3g  57440  53120 S   0.0   0.4   0:00.17 brave
   6315 joel-wa+  20   0   32.3g   8632   4088 S   0.0   0.1   0:00.46 brave
   6362 joel-wa+  20   0   32.8g 180616 128488 S   0.0   1.1  81:52.48 brave
   6380 joel-wa+  20   0   32.4g 111768  99968 S   0.0   0.7  13:13.24 brave
   6394 joel-wa+  20   0   32.4g  48604  42612 S   0.0   0.3   0:18.28 brave
   6434 joel-wa+  20   0 1157.6g 350464 139024 S   0.0   2.2  39:04.63 brave
   6474 joel-wa+  20   0 1157.6g 134532 107288 S   0.0   0.8   5:43.54 brave
   6695 joel-wa+  20   0   32.7g  76220  74568 S   0.0   0.5   1:55.84 brave
   7000 joel-wa+  30  10  777468 178212 103540 S   0.0   1.1   1:14.55 update-manager
   7029 joel-wa+  20   0 1158.2g 222472 134880 S   0.0   1.4   5:24.27 code
   7033 joel-wa+  20   0   32.2g  40052  38800 S   0.0   0.2   0:00.12 code
   7034 joel-wa+  20   0   32.2g  42100  38712 S   0.0   0.3   0:00.12 code
   7036 joel-wa+  20   0   32.2g   7304   3712 S   0.0   0.0   0:00.02 code
   7061 joel-wa+  20   0   32.0g   2652   2460 S   0.0   0.0   0:00.05 chrome_crashpad
   7078 joel-wa+  20   0   32.9g  78708  53636 S   0.0   0.5  23:19.26 code
   7083 joel-wa+  20   0   32.3g  62524  58268 S   0.0   0.4   0:36.23 code
   7123 joel-wa+  20   0 1159.6g 224272 101500 S   0.0   1.4  20:37.66 code
   7132 joel-wa+  20   0 1159.6g 233676 101640 S   0.0   1.4   2:09.04 code
   7149 joel-wa+  20   0 1159.6g 235732 101784 S   0.0   1.5  18:07.08 code
   7157 joel-wa+  20   0 1161.4g 232248 101452 S   0.0   1.4   6:02.38 code
   7246 joel-wa+  20   0 1157.7g 131376  77088 S   0.0   0.8   4:47.54 code
   7257 joel-wa+  20   0 1157.7g  86848  73256 S   0.0   0.5   0:42.19 code
   7271 joel-wa+  20   0 1157.7g  89380  73120 S   0.0   0.6   0:41.74 code
   7281 joel-wa+  20   0 1157.7g 143328  77840 S   0.0   0.9   0:40.12 code
   7310 joel-wa+  20   0 1157.7g  98880  73288 S   0.0   0.6   0:50.22 code
   7311 joel-wa+  20   0 1157.7g 137068  77212 S   0.0   0.8   0:30.69 code
   7313 joel-wa+  20   0 1157.7g 210564  81660 S   0.0   1.3   0:55.35 code
   7369 joel-wa+  20   0 1157.7g  82620  73092 S   0.0   0.5   0:42.07 code
   7380 joel-wa+  20   0 1157.7g 135952  77828 S   0.0   0.8   0:35.95 code
   7539 joel-wa+  20   0 1157.8g  98188  74644 S   0.0   0.6   7:00.71 code
   7571 joel-wa+  20   0   11436   4400   3952 S   0.0   0.0   0:00.12 bash
   7632 joel-wa+  20   0   11568   5036   3948 S   0.0   0.0   0:00.15 bash
   7646 joel-wa+  20   0   11436   3860   3840 S   0.0   0.0   0:00.11 bash
   7859 joel-wa+  20   0   11436   4208   3904 S   0.0   0.0   0:00.10 bash
   8118 joel-wa+  20   0 1155.8g  83868  65708 S   0.0   0.5   0:07.33 code
   8338 joel-wa+  20   0    4888   3604   3280 S   0.0   0.0   0:01.87 pet
   8529 joel-wa+  20   0   11436   5772   3912 S   0.0   0.0   0:00.10 bash
   8600 joel-wa+  20   0 1155.8g  82892  64200 S   0.0   0.5   0:05.15 code
   8659 joel-wa+  20   0 1157.6g 135328  65940 S   0.0   0.8   0:11.83 code
   9491 root      20   0 1839164  25688  10636 S   0.0   0.2   0:38.11 snapd
  12723 joel-wa+  20   0   11408   4292   3804 S   0.0   0.0   0:00.08 bash
  12850 joel-wa+  20   0 1036996  24920  24704 S   0.0   0.2   0:24.60 multipass
  12943 joel-wa+  20   0 1036932  24964  24656 S   0.0   0.2   0:22.65 multipass
  13431 joel-wa+  20   0 2540288 157344 112600 S   0.0   1.0   0:57.66 file:// Content
  13621 joel-wa+  20   0   11540   5796   3932 S   0.0   0.0   0:00.55 bash
  13686 joel-wa+  20   0 2590244 189468 105256 S   0.0   1.2   1:18.97 Isolated Web Co
  17332 joel-wa+  20   0 2721908 238424 105924 S   0.0   1.5   3:00.80 Isolated Web Co
  24224 joel-wa+  20   0   16500   7672   5272 S   0.0   0.0   0:02.79 zsh
  24835 joel-wa+  20   0  888348  98440  56724 S   0.0   0.6   0:10.13 nautilus
  25753 joel-wa+  20   0  698708  59824  41080 S   0.0   0.4   0:04.02 gedit
  26223 joel-wa+  20   0   11536   5860   3952 S   0.0   0.0   0:00.67 bash
  48588 joel-wa+  20   0 1156.0g 194628 132664 S   0.0   1.2   1:42.07 brave
  61218 joel-wa+  20   0   35928  12520  12028 S   0.0   0.1   0:00.06 gnome-terminal
  61221 joel-wa+  20   0  381480  24576  19364 S   0.0   0.2   0:00.09 gnome-terminal.
  61226 joel-wa+  20   0   12056   6148   3948 S   0.0   0.0   0:00.09 bash
  63934 joel-wa+  20   0 1629472  86412  68756 S   0.0   0.5   3:12.96 gnome-control-c
  63972 joel-wa+  20   0   46960   6824   6604 S   0.0   0.0   0:00.00 obexd
  65404 joel-wa+  20   0 1192536  86484  42656 S   0.0   0.5   0:24.71 eog
  67957 joel-wa+  20   0 2428596  94428  79276 S   0.0   0.6   0:28.60 Isolated Web Co
  70306 joel-wa+  20   0 2453348  98732  83068 S   0.0   0.6   0:26.82 Isolated Web Co
  79905 joel-wa+  20   0   87948   4912   4532 S   0.0   0.0   0:00.02 oosplash
  79921 joel-wa+  20   0 1947528 325324 140728 S   0.0   2.0   0:22.11 soffice.bin
  82730 joel-wa+  20   0 3141348 488772 115572 S   0.0   3.0  10:39.45 Isolated Web Co
 110896 joel-wa+  20   0 1161.4g 243416 104892 S   0.0   1.5   1:05.99 code
 110924 joel-wa+  20   0 1157.7g  98804  73924 S   0.0   0.6   0:20.40 code
 110934 joel-wa+  20   0 1161.3g 175680  78064 S   0.0   1.1   0:15.21 code
 111228 joel-wa+  20   0  388772   9072   7840 S   0.0   0.1   0:00.08 gvfsd-network
 111243 joel-wa+  20   0  316828   8980   7804 S   0.0   0.1   0:00.15 gvfsd-dnssd
 111368 joel-wa+  20   0   11552   5848   3940 S   0.0   0.0   0:00.10 bash
 113388 joel-wa+  20   0 1036944  26908  25240 S   0.0   0.2   0:11.46 multipass
 114926 joel-wa+  20   0   11540   5840   3968 S   0.0   0.0   0:00.17 bash
 116625 joel-wa+  20   0 1132.2g 175556 120768 S   0.0   1.1   8:20.91 whatsapp-linux-
 116700 joel-wa+  20   0   32.4g  46064  37228 S   0.0   0.3   0:00.23 whatsapp-linux-
 116701 joel-wa+  20   0   32.4g  46324  37492 S   0.0   0.3   0:00.50 whatsapp-linux-
 116753 joel-wa+  20   0   32.6g  95076  61120 S   0.0   0.6   1:11.77 whatsapp-linux-
 116763 joel-wa+  20   0   32.5g  74528  62820 S   0.0   0.5   0:20.42 whatsapp-linux-
 116855 joel-wa+  20   0 1136.3g 397064 131132 S   0.0   2.5  32:59.83 whatsapp-linux-
 117355 joel-wa+  20   0 6979236 204400 122356 S   0.0   1.3   1:01.79 Isolated Web Co
 118070 joel-wa+  20   0   32.4g  57784  48404 S   0.0   0.4   0:21.40 whatsapp-linux-
 120322 joel-wa+  20   0 1156.0g 223240 139152 S   0.0   1.4   5:49.90 brave
 125915 joel-wa+  20   0   16496   8172   5848 S   0.0   0.1   0:00.58 zsh
 132099 joel-wa+  20   0   13008   7340   3952 S   0.0   0.0   0:00.27 bash
 134235 joel-wa+  20   0   14044   8400   3944 S   0.0   0.1   0:00.44 bash
 139025 joel-wa+  20   0   32.7g 237580 189348 S   0.0   1.5   2:20.80 chrome
 139031 joel-wa+  20   0    8516   2040   1936 S   0.0   0.0   0:00.00 cat
 139032 joel-wa+  20   0    8516   2048   1936 S   0.0   0.0   0:00.00 cat
 139034 joel-wa+  20   0   32.0g   3720   3360 S   0.0   0.0   0:00.00 chrome_crashpad
 139036 joel-wa+  20   0   32.0g   3556   3216 S   0.0   0.0   0:00.00 chrome_crashpad
 139042 joel-wa+  20   0   32.4g  60712  47968 S   0.0   0.4   0:00.04 chrome
 139043 joel-wa+  20   0   32.4g  60704  48056 S   0.0   0.4   0:00.03 chrome
 139045 joel-wa+  20   0   32.4g  16812   4060 S   0.0   0.1   0:00.06 chrome
 139072 joel-wa+  20   0   32.8g 158232 117568 S   0.0   1.0   0:06.13 chrome
 139074 joel-wa+  20   0   32.4g 111976  95428 S   0.0   0.7   0:06.74 chrome
 139083 joel-wa+  20   0   32.4g  51856  37804 S   0.0   0.3   0:02.11 chrome
 139126 joel-wa+  20   0 1155.9g 100112  80768 S   0.0   0.6   0:00.73 chrome
 139223 joel-wa+  20   0 1156.0g 141212 113832 S   0.0   0.9   0:01.14 chrome
 139260 joel-wa+  20   0 1156.0g 109760  90264 S   0.0   0.7   0:00.66 chrome
 139261 joel-wa+  20   0 1156.0g 111088  91508 S   0.0   0.7   0:00.65 chrome
 143044 joel-wa+  20   0 1159.6g 263344 102424 S   0.0   1.6   0:47.36 code
 143075 joel-wa+  20   0 1157.7g 107312  73708 S   0.0   0.7   0:16.72 code
 143086 joel-wa+  20   0 1157.7g 262584  81156 S   0.0   1.6   0:22.46 code
 143252 joel-wa+  20   0    4944   3912   3220 S   0.0   0.0   0:00.83 pet
 143352 joel-wa+  20   0   11440   5792   3932 S   0.0   0.0   0:00.03 bash
 143401 joel-wa+  20   0 1157.6g 134760  66124 S   0.0   0.8   0:03.43 code
 143548 joel-wa+  20   0 1155.8g  83592  64432 S   0.0   0.5   0:01.83 code
 143589 joel-wa+  20   0 1155.9g  69464  51756 S   0.0   0.4   0:00.54 chrome
 143940 joel-wa+  20   0 1156.0g 169708 124696 S   0.0   1.1   0:04.72 brave
 159665 joel-wa+  20   0 1155.9g  63720  54248 S   0.0   0.4   0:00.52 brave
 168760 joel-wa+  20   0 7424688 368640 127640 S   0.0   2.3   1:53.95 Isolated Web Co
 190452 joel-wa+  20   0   13244   6792   4960 S   0.0   0.0   0:00.13 zsh
 190506 joel-wa+  20   0   11540   5844   3960 S   0.0   0.0   0:00.23 bash
 195329 joel-wa+  20   0 1155.9g 132516 108796 S   0.0   0.8   0:00.87 brave
 196669 joel-wa+  20   0 2431292  92184  77320 S   0.0   0.6   0:03.53 Isolated Web Co
 201315 joel-wa+  20   0 2722944 266732 109976 S   0.0   1.7   0:57.22 Isolated Web Co
 201473 joel-wa+  20   0 2406580  77612  64644 S   0.0   0.5   0:02.42 Web Content
 201476 joel-wa+  20   0 2406580  77332  64348 S   0.0   0.5   0:01.99 Web Content
 201530 root      20   0       0      0      0 I   0.0   0.0   0:00.96 kworker/2:1-events
 203599 root      20   0       0      0      0 I   0.0   0.0   0:00.70 kworker/7:1-mm_percpu_wq
 203780 root      20   0       0      0      0 I   0.0   0.0   0:00.59 kworker/5:2-events
 203783 root      20   0       0      0      0 I   0.0   0.0   0:01.36 kworker/u16:12-events_power+
 204848 root      20   0       0      0      0 I   0.0   0.0   0:00.71 kworker/3:1-events
 204866 root       0 -20       0      0      0 I   0.0   0.0   0:01.45 kworker/u17:0-i915_flip
 204960 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/2:0-events
 205154 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127-mei_me
 205155 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/0:0-kacpi_notify
 205157 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker/4:4-events
 205402 postfix   20   0   41616   6912   6272 S   0.0   0.0   0:00.00 qmgr
 205403 postfix   20   0   41572   6912   6272 S   0.0   0.0   0:00.01 pickup
 207376 root      20   0       0      0      0 I   0.0   0.0   0:03.57 kworker/6:0-i915-unordered
 207471 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0-events
 207476 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/3:0-events
 207500 joel-wa+  20   0 3280584  74100  55680 S   0.0   0.5   0:00.83 gjs
 208605 joel-wa+  20   0 2406600  77568  64896 S   0.0   0.5   0:00.86 Web Content
 209920 root      20   0       0      0      0 I   0.0   0.0   0:00.38 kworker/u16:1-events_power_+
 210035 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker/0:1-events
 210216 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/7:2
 210308 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/1:2-events
 210982 joel-wa+  20   0   16248   7360   5248 S   0.0   0.0   0:00.16 zsh
 211092 joel-wa+  20   0   11408   5376   3712 S   0.0   0.0   0:00.10 bash
 211185 root       0 -20       0      0      0 I   0.0   0.0   0:00.51 kworker/u17:2-hci0
 211213 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0-events
 211223 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:1
 211747 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/0:3-usb_hub_wq
 211906 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-events
 212019 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/u16:2-events_unbound
 212032 joel-wa+  20   0   11408   5120   3584 S   0.0   0.0   0:00.05 bash
 212040 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u17:3-hci0
 212069 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/u16:3-flush-259:0
 212674 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:2-events
 212822 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1-events
 212833 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:2
 213001 joel-wa+  20   0 1134.1g 103364  59728 S   0.0   0.6   0:00.16 whatsapp-linux-
 213163 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:1
top - 22:01:21 up 2 days,  6:57,  1 user,  load average: 0.98, 1.02, 0.94
Tasks: 449 total,   1 running, 448 sleeping,   0 stopped,   0 zombie
%Cpu(s): 18.4 us,  3.7 sy,  0.0 ni, 74.3 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    443.9 free,   9823.0 used,   5489.0 buff/cache
MiB Swap:   2048.0 total,    735.8 free,   1312.2 used.   3940.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3166 root      20   0 4061528 989420   4160 S 118.8   6.1  14:40.98 qemu-system-x86
   3481 joel-wa+  20   0 6936712 413412 141528 S   6.2   2.6 132:22.12 gnome-shell
   4259 joel-wa+  20   0   12.2g 584828 231736 S   6.2   3.6  64:36.80 firefox
top - 22:01:41 up 2 days,  6:57,  1 user,  load average: 1.19, 1.06, 0.95
Tasks: 448 total,   1 running, 447 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.4 us,  4.1 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    492.6 free,   9781.1 used,   5482.2 buff/cache
MiB Swap:   2048.0 total,    735.8 free,   1312.2 used.   3991.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 213384 joel-wa+  20   0   13340   4352   3328 R  22.2   0.0   0:00.07 top
   3481 joel-wa+  20   0 6932604 413556 141656 S  16.7   2.6 132:24.12 gnome-shell
 117443 joel-wa+  20   0 2676396 257880 134616 S  11.1   1.6   1:15.88 Isolated Web Co
