top - 21:59:17 up 2 days,  6:55,  1 user,  load average: 0.84, 0.96, 0.91
Tasks: 451 total,   1 running, 450 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.8 us,  3.5 sy,  0.0 ni, 87.8 id,  2.9 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    546.0 free,   9661.9 used,   5548.0 buff/cache
MiB Swap:   2048.0 total,    734.8 free,   1313.2 used.   4094.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kauditd
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.26 khungtaskd
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-write
     71 root      20   0       0      0      0 S   0.0   0.0   0:32.34 kcompactd0
     72 root      25   5       0      0      0 S   0.0   0.0   3:40.15 ksmd
     73 root      39  19       0      0      0 S   0.0   0.0   0:29.57 khugepaged
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kinte
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kbloc
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-blkcg
     77 root     -51   0       0      0      0 S   0.0   0.0   1:22.86 irq/9-acpi
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-tpm_d
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ata_s
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-md
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-md_bi
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-edac-
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-devfr
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     91 root       0 -20       0      0      0 I   0.0   0.0   0:05.85 kworker/7:1H-kblockd
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksgxd
     94 root      20   0       0      0      0 S   0.0   0.0   0:10.49 kswapd0
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthread
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kthro
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-aerdrv
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-aerdrv
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-aerdrv
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-acpi_
    101 root      20   0       0      0      0 S   0.0   0.0   0:01.09 hwrng
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mld
    104 root       0 -20       0      0      0 I   0.0   0.0   0:03.68 kworker/2:1H-kblockd
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ipv6_
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kstrp
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-charg
    149 root       0 -20       0      0      0 I   0.0   0.0   0:05.43 kworker/4:1H-kblockd
    164 root       0 -20       0      0      0 I   0.0   0.0   0:04.45 kworker/5:1H-kblockd
    165 root       0 -20       0      0      0 I   0.0   0.0   0:04.39 kworker/1:1H-kblockd
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1H
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:1H
    169 root       0 -20       0      0      0 I   0.0   0.0   0:04.58 kworker/6:1H-events_highpri
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-nvme-
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-nvme-
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-nvme-
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-nvme-
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-USBC0
    252 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-USBC0
    272 root      20   0       0      0      0 S   0.0   0.0   0:15.35 jbd2/nvme0n1p5-8
    273 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ext4-
    329 root      19  -1  175292 104164 102924 S   0.0   0.6   0:17.71 systemd-journal
    353 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rpcio
    354 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-xprti
    408 root      20   0   27336   4868   4148 S   0.0   0.0   0:13.07 systemd-udevd
    474 root     -51   0       0      0      0 S   0.0   0.0   8:43.52 irq/146-elan_i2c
    476 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-cfg80
    483 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ktpac
    487 root     -51   0       0      0      0 S   0.0   0.0   4:09.45 irq/147-iwlwifi
    593 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ttm
    602 root     -51   0       0      0      0 S   0.0   0.0   0:00.02 card1-crtc0
    603 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc1
    604 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc2
    632 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-crypt
    703 root      20   0    8584   1940   1792 S   0.0   0.0   0:02.53 haveged
    704 _rpc      20   0    8104   3708   3608 S   0.0   0.0   0:00.16 rpcbind
    706 systemd+  20   0   14836   6148   5996 S   0.0   0.0   2:28.20 systemd-oomd
    707 systemd+  20   0   26720  10632   9136 S   0.0   0.1  13:06.89 systemd-resolve
    738 root      20   0    5128   1736   1724 S   0.0   0.0   0:00.00 blkmapd
    746 root      20   0    3108   1956   1908 S   0.0   0.0   0:00.00 rpc.idmapd
    750 root      20   0    5464   2272   2124 S   0.0   0.0   0:00.00 nfsdcld
    825 root      20   0  240396   7780   6676 S   0.0   0.0   0:03.67 accounts-daemon
    826 root      20   0    2948   2156   1880 S   0.0   0.0   0:06.65 acpid
    830 avahi     20   0    8128   4492   3652 S   0.0   0.0   1:13.44 avahi-daemon
    833 root      20   0   10908   5464   4784 S   0.0   0.0   1:22.20 bluetoothd
    834 root      20   0    9496   2824   2652 S   0.0   0.0   0:00.28 cron
    837 message+  20   0   11548   7048   3984 S   0.0   0.0   5:37.03 dbus-daemon
    847 root      20   0   82804   3660   3524 S   0.0   0.0   0:13.83 irqbalance
    849 root      20   0   41088  11928  11712 S   0.0   0.1   0:00.24 networkd-dispat
    852 root      20   0  244016  12144   7392 S   0.0   0.1   0:13.11 polkitd
    855 root      20   0  240104   7576   7004 S   0.0   0.0   0:00.27 power-profiles-
    856 syslog    20   0  222404   4952   3880 S   0.0   0.0   0:04.01 rsyslogd
    862 root      20   0   11400   4396   4256 S   0.0   0.0   0:00.05 smartd
    868 root      20   0  236672   6628   6088 S   0.0   0.0   0:01.17 switcheroo-cont
    876 root      20   0   31924   7496   6856 S   0.0   0.0   0:06.22 systemd-logind
    880 root      20   0   15000   6348   6028 S   0.0   0.0   0:03.59 systemd-machine
    884 root      20   0  276228   9800   9168 S   0.0   0.1   0:20.23 thermald
    885 root      20   0  394048  10880   8832 S   0.0   0.1   0:06.72 udisksd
    887 root      20   0   17876   9000   7684 S   0.0   0.1   0:08.38 wpa_supplicant
    890 daemon    20   0    3864   2276   2216 S   0.0   0.0   0:00.00 atd
    903 avahi     20   0    7444   1600   1436 S   0.0   0.0   0:00.00 avahi-daemon
    941 root      20   0  318140   8820   7468 S   0.0   0.1   0:03.53 ModemManager
    951 root      20   0  483656  18624  15128 S   0.0   0.1   3:26.04 NetworkManager
    994 root      20   0  242764   9488   7492 S   0.0   0.1   2:26.92 upowerd
   1067 root      20   0   73012  12660  11500 S   0.0   0.1   0:00.25 cupsd
   1071 root      20   0 2807340 230456  20172 S   0.0   1.4   1:38.92 multipassd
   1084 root      20   0 2097092  12332   4096 S   0.0   0.1   1:35.63 containerd
   1091 root      20   0   15432   5404   5388 S   0.0   0.0   0:00.05 sshd
   1100 root      20   0 1552908  21540  16032 S   0.0   0.1   0:11.25 libvirtd
